NamesUnique (publd edtn)	CountNames
Jacob Hollinshead	31
Jacob Hollinshead Jr	1
Jacob Hollinsheads	1
Jacob Hollinshed	1
Jacob Jennings	1
Jacob Kay	2
Jacob Key	1
Jacob Lindlay	1
Jacob Lindley	26
Jacob Lindly	1
Jacob Lippincott	3
Jacob Lunde	1
Jacob Mason	1
Jacob Painter	1
Jacob Paxson	1
Jacob Paxton	2
Jacob Phillips	1
Jacob Pricket	1
Jacob Ritter	1
Jacob Sharp	1
Jacob Shavers	1
Jacob Stokes	6
Jacob Trasel	1
Jacob Wellis	1
Jacob Wells	1
Jacob Wilkins	1
Jacob Willis	2
Jacob Wine	2
Jahu Lord	2
Jame Den	1
James Adams	3
James Barrit	1
James Bilange	1
James Bilanger	1
James Casaday	1
James Clements	1
James Cooper	28
James Cressen	2
James Daniel	1
James Eding	1
James Edings	1
James Eldrige	2
James Emlen	3
James French	3
James Frinch	3
James Gaskill	1
James Gough	4
James Goughs	1
James Hale	3
James Hatton	1
James Hileis	1
James Hinchman	4
James Holingshead	1
James Hollen	3
James Hunter	1
James Jefferies	1
James Kaighn	1
James Kain	1
James Kains	1
James Lippincott	9
James Mason	4
James Meikle	4
James Meikle]	2
James Miccle	1
James Miccles	1
James Mickkles	1
James Moon	1
James Nayler	2
James Naylor	6
James Pemberton	3
James Pennoe	2
James Phillips	6
James Pilt	1
James Rigbey	1
James Robertson	1
James Robinsons	1
James Rogers	1
James Simpson	16
James Simson	2
James Sloan	7
James T[hornton]	1
James Thoring	1
James Thorington	48
James Thorington Jr	1
James Thorington Sr	1
James Thorins	1
James Thorinton	2
James Thornton	20
James Whitall	1
James Whiteal	4
James Whiteal Jr	1
James Wilk	1
James Wilkins	2
James Willis	1
James Witial	1
James Witkins	1
James Wood	4
Jamime French	1
Jane Cooper	1
Jane Eves	1
Jane Evss	1
Jane Pearson	6
Jane Penquites	2
Jane Sharp	1
Jane Sharpe	1
Jane Snowden	1
Jane Watson	5
Japhet Garwood	1
Jared Spencer	1
Jef Rakestraw	1
Jemime Hurley	1
Jemime Hurly	1
Jer[e]m[iah] M[a]tl[ack]	1
Jeremiah Crossdill	1
Jeremiah Matlack	6
Jeremiah See	1
Jeremy Elpressy	1
Jerusha Curtis	2
Jervas Johnson	2
Jervis Johnson	1
